"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0699996948242","","","","","","","","","","96.7200012207031","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7099990844727","47.2099990844727","47.5999984741211","48.2599983215332","48.2700004577637","48.7000007629395","49.3899993896484","49.8300018310547","50.75","51.5699996948242","52.7200012207031","53.1100006103516","53.9599990844727","54.7299995422363","55.4900016784668","55.3199996948242","56.0099983215332","56.3899993896484","55.8300018310547","53.7900009155273","55.0999984741211","55.4000015258789","56.2999992370605","57.2000007629395","59.7099990844727","61.560001373291","62.5800018310547","63.2900009155273","63.9000015258789","64.8199996948242","65.0400009155273","66","67.3499984741211","67.6100006103516","67.4899978637695","68.0100021362305","68.4899978637695","68.9800033569336","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98999977111816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0200004577637","","","","17.0900001525879","","","","","21.6729293602948","22.6000003814697","26.6000003814697","","","",
"Africa Western and Central","AFW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","28.5799999237061","28.8700008392334","29.6800003051758","30.3999996185303","31.2700004577637","32.1399993896484","33.0400009155273","33.9300003051758","34.8600006103516","35.8600006103516","36.3199996948242","37.3499984741211","38.4700012207031","39.7299995422363","40.7599983215332","35.9700012207031","37.2299995422363","38.1399993896484","39.0299987792969","40.1300010681152","40.4099998474121","41.3400001525879","39.8800010681152","40.4799995422363","40.4300003051758","41.4099998474121","42.6500015258789","43.2099990844727","44.0900001525879","45.0299987792969","46.0400009155273","46.7400016784668","47.7599983215332","51.6500015258789","51.6300010681152","51.8499984741211","52.1599998474121","52.4700012207031","52.7599983215332","52.9300003051758","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.189998626709","","","","","","","","","","","","","53.4099998474121","51.9300003051758","","","","","","","","54.3699989318848","","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.25","","","","","","","94.6800003051758","","","95.6900024414062","96.1399993896484","","","","","99.0899963378906","","","","","","97.2200012207031","","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","33.4799995422363","34.1100006103516","34.75","35.560001373291","35.9300003051758","36.7799987792969","37.6500015258789","38.5099983215332","39.3800010681152","40.439998626709","41.5","42.6100006103516","43.5900001525879","44.7400016784668","45.0499992370605","46.0699996948242","47.1100006103516","48.3800010681152","49.6699981689453","50.9700012207031","52.2299995422363","53.4199981689453","54.7200012207031","56.0200004577637","58.4799995422363","59.6300010681152","60.4199981689453","59.1199989318848","59.9300003051758","61.1500015258789","62.1500015258789","62.9599990844727","65.0599975585938","66.0299987792969","67.4100036621094","67.5599975585938","68.5400009155273","67.6100006103516","68.5400009155273","69.0299987792969","69.4800033569336","70","70.4400024414062","70.9899978637695","71.4700012207031","71.9599990844727","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.1199989318848","","","","","","","","","","68.6600036621094","","","","","","","","","","","","","","","","","","","","91.4700012207031","","","","","","","","","","","","","","97.129997253418","","97.1699981689453","97.5800018310547","97.5","98.4300003051758","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5800018310547","","","","","","","","","","","95.9199981689453","","","","","","","","","","97.1900024414062","","","","","","","","","","","","","","","","","","","99.1600036621094","","","","","",
"Armenia","ARM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1500015258789","","","","","","","","","","","","99.1600036621094","","","","","","","","","","99.6900024414062","","","","","99.6900024414062","99.6800003051758","100","100","99.7399978637695","","99.9000015258789","99.9000015258789","","",
"American Samoa","ASM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.2200012207031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4199981689453","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1699981689453","","","","","","","","99.379997253418","","99.6800003051758","99.6900024414062","99.6999969482422","99.6999969482422","99.7200012207031","99.7200012207031","99.7200012207031","99.7200012207031","99.7200012207031","","99.7300033569336","","","","99.7300033569336","","",
"Burundi","BDI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","11.9799995422363","","","","","","","","","","","27.5300006866455","","","","","","","","","","52.2400016784668","","","","","","","","43.1599998474121","","","","","","54.6199989318848","","59.439998626709","61.2200012207031","","","66.1104503329775","","","","","",
"Belgium","BEL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","9.53999996185303","","","","","","","","","","","","","16.5699996948242","","","","","","","","","","23.2999992370606","","","","","","","","","42.4618421406442","","34.7700004577637","","","","28.5499992370606","","38.0999984741211","","33.1300010681152","41.5099983215332","","","",
"Burkina Faso","BFA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","3.39000010490417","","","","","","","","","","","","","","","","8.22999954223633","","","","","8.0600004196167","","","","","","","15.1899995803833","","16.6200008392334","16.2900009155273","20.4300003051758","","","","","","","26.2199993133545","","","","31.0400009155273","24.6800003051758","","31.0300006866455","33.7299995422363","35.7315412066823","","",
"Bangladesh","BGD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","17.9699993133545","","","","","","","","","","25.8400001525879","","","","","","","","","","40.8199996948242","","","","","","","","","","55.1199989318848","54.2400016784668","57.7900009155273","57.8600006103516","62.25","69.9000015258789","70.0899963378906","71.1800003051758","71.9499969482422","72","73.6399993896484","76.5400009155273","","","",
"Bulgaria","BGR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7099990844727","","","","","","","","","","97.9800033569336","","","","","","","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","58.5900001525879","","","","","","","","","","76.9300003051758","","","","","","","","","","83.5599975585938","","","","","","","","","","","","","","","","","","","","","96.1100006103516","96.2699966430664","96.2900009155273","",
"Bahamas, The","BHS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
